,title,link,address,price,to_last_month,completion_date
14,龙湖颐和原著,https://beijing.anjuke.com/community/view/802975,［海淀区-西苑］二龙闸路,106834,↑0.51%,竣工日期：2010
15,万柳书院,https://beijing.anjuke.com/community/props/sale/802975/,［海淀区-万柳］万柳华府北街9号,248256,——,竣工日期：2015
16,霞公府,https://beijing.anjuke.com/map/sale/#l1=40.0558434887&l2=116.5285995248&l3=18&flag=1&commname=泰禾北京院子&commid=802975,［东城区-王府井］霞公府街3号,131346,↓0.21%,竣工日期：2010
17,百环家园,https://beijing.anjuke.com/community/round/802975,［朝阳区-双井］广渠路66号,58039,↑0.64%,竣工日期：2005
18,望京西园三区,https://beijing.anjuke.com/community/trends/802975,［朝阳区-望京］望京街,63555,↑0.62%,竣工日期：2003
19,紫禁壹号院,https://beijing.anjuke.com/community/photos2/b/802975,［大兴区-亦庄］百意街1号,72054,↓4.61%,竣工日期：2014
20,保利垄上,https://beijing.anjuke.com/community/view/802975/jiedu/,［昌平区-小汤山北］立汤路9号,41503,↑4.28%,竣工日期：2000
21,八达岭孔雀城,https://beijing.anjuke.com/community/view/56722,［北京周边-张家口］八达岭高速,10489,↓3.05%,竣工日期：2014
22,珠江壹千栋,https://beijing.anjuke.com/community/props/sale/56722/,［昌平区-北七家］定泗路99号,44062,↑0.26%,竣工日期：2004
23,翡翠公园,https://beijing.anjuke.com/map/sale/#l1=40.0117384967&l2=116.4137342876&l3=18&flag=1&commname=紫玉山庄&commid=56722,"［昌平区-北七家］七星路,近北清路",63231,↑0.68%,竣工日期：2016
24,观唐,https://beijing.anjuke.com/community/round/56722,［朝阳区-来广营］观唐东路1号,90325,↑1.17%,竣工日期：2004
25,华业东方玫瑰,https://beijing.anjuke.com/community/trends/56722,"［通州区-梨园］梨园南街,近临河里路",53175,↓0.31%,竣工日期：2006
26,丽宫别墅,https://beijing.anjuke.com/community/photos2/b/56722,［顺义区-天竺］林荫路,76947,↑0.27%,竣工日期：2007
27,首开香溪郡,https://beijing.anjuke.com/community/view/56722/jiedu/,［通州区-北关］通顺路,39295,↑0.16%,竣工日期：2015
28,亚运新新家园,https://beijing.anjuke.com/community/view/848270,［朝阳区-亚运村］辛店路1号,94434,↓0.23%,竣工日期：2014
0,合生霄云路8号,https://beijing.anjuke.com/community/view/593188,［朝阳区-燕莎］霄云路8号,130769,↑6.73%,竣工日期：2013
1,御汤山,https://beijing.anjuke.com/community/props/sale/593188/,［昌平区-小汤山北］安四路99号,51002,↑1.35%,竣工日期：2010
2,今日家园,https://beijing.anjuke.com/map/sale/#l1=39.9629845577&l2=116.4755739784&l3=18&flag=1&commname=合生霄云路8号&commid=593188,［海淀区-五棵松］西翠路5号,72819,↓0.35%,竣工日期：2000
3,王府花园,https://beijing.anjuke.com/community/round/593188,［昌平区-北七家］王府街10号,49046,↑0.11%,竣工日期：1995
4,九章别墅,https://beijing.anjuke.com/community/trends/593188,［朝阳区-朝阳周边］东苇路3号,98735,↑2.46%,竣工日期：2014
5,远洋天地,https://beijing.anjuke.com/community/photos2/b/593188,［朝阳区-四惠］八里庄西里1号,69265,↓0.11%,竣工日期：2000
6,新城国际,https://beijing.anjuke.com/community/view/593188/jiedu/,［朝阳区-朝外大街］朝阳门外大街6号,121711,↓0.81%,竣工日期：2002
7,西山美墅馆,https://beijing.anjuke.com/community/view/326631,［海淀区-西山］南旱河路301号,98164,↑4.16%,竣工日期：2004
8,京城雅居,https://beijing.anjuke.com/community/props/sale/326631/,［朝阳区-豆各庄］黄广路,47481,↓3.04%,竣工日期：2001
9,首创禧瑞都,https://beijing.anjuke.com/map/sale/#l1=40.185106&l2=116.402184&l3=18&flag=1&commname=御汤山&commid=326631,［朝阳区-CBD］朝阳路139号,143191,——,竣工日期：2015
10,纳帕溪谷,https://beijing.anjuke.com/community/round/326631,［昌平区-小汤山北］沙顺路68号,45442,↓5.02%,竣工日期：2003
11,龙城花园,https://beijing.anjuke.com/community/trends/326631,［昌平区-龙泽］京藏高速,59750,↓0.20%,竣工日期：1997
12,美景东方,https://beijing.anjuke.com/community/photos2/b/326631,［朝阳区-华威桥］松榆南路38号,71747,↑2.59%,竣工日期：2003
13,龙山新新小镇,https://beijing.anjuke.com/community/view/326631/jiedu/,［怀柔区-怀柔城区］京承高速,27191,↑0.90%,竣工日期：2007
14,弘善家园,https://beijing.anjuke.com/community/view/50423,［朝阳区-潘家园］华威南路42号,53586,↓3.11%,竣工日期：2009
15,康城花园别墅,https://beijing.anjuke.com/community/props/sale/50423/,［朝阳区-双桥］双桥东路9号,51233,↑1.33%,竣工日期：2000
16,公园大道,https://beijing.anjuke.com/map/sale/#l1=39.900975&l2=116.281131&l3=18&flag=1&commname=今日家园&commid=50423,［朝阳区-朝阳公园］公园南路6号,96980,↓0.53%,竣工日期：2004
17,嘉都国际,https://beijing.anjuke.com/community/round/50423,［北京周边-燕郊］京平高速,14511,↓0.87%,竣工日期：2017
18,君山别墅,https://beijing.anjuke.com/community/trends/50423,［密云区(密云县)-密云周边］密溪路33号,26187,↑3.15%,竣工日期：2007
19,首创澜茵山,https://beijing.anjuke.com/community/photos2/b/50423,［密云区(密云县)-密云城区］密关路,19538,↑2.13%,竣工日期：2011
20,润泽御府,https://beijing.anjuke.com/community/view/50423/jiedu/,［朝阳区-北苑］清苑路,104220,——,竣工日期：2014
21,御汤山熙园,https://beijing.anjuke.com/community/view/177757,"［昌平区-小汤山北］顺沙路,近秦上路",51446,↑7.94%,竣工日期：暂无数据
22,天润福熙大道,https://beijing.anjuke.com/community/props/sale/177757/,［朝阳区-北苑］清河营东路1号,81335,↑0.40%,竣工日期：2016
23,龙湾别墅,https://beijing.anjuke.com/map/sale/#l1=40.1064117224&l2=116.4016333471&l3=18&flag=1&commname=王府花园&commid=177757,［顺义区-后沙峪］裕园路,68315,↓0.21%,竣工日期：2004
24,北京银泰中心,https://beijing.anjuke.com/community/round/177757,［朝阳区-建外大街］建国门外大街2号,143054,↓0.77%,竣工日期：2008
25,新龙城,https://beijing.anjuke.com/community/trends/177757,［昌平区-回龙观］昌平路380号,55125,↑0.97%,竣工日期：2000
26,朱雀门小区,https://beijing.anjuke.com/community/photos2/b/177757,［西城区-陶然亭］太平街8号,149291,↑1.63%,竣工日期：2008
27,万泉新新家园,https://beijing.anjuke.com/community/view/177757/jiedu/,［海淀区-万柳］巴沟南路35号,138226,↑0.12%,竣工日期：2000
28,尚峰尚水,https://beijing.anjuke.com/community/view/803251,［海淀区-温泉］温北路8号,60457,↑5.51%,竣工日期：2012
29,北京壹号庄园(东方普罗旺斯四期),https://beijing.anjuke.com/community/props/sale/803251/,［昌平区-北七家］定泗路88号,66843,↓0.01%,竣工日期：2011
0,泛海世家,https://beijing.anjuke.com/community/view/797197,［朝阳区-朝阳公园］华章东路1号,155741,↑4.10%,竣工日期：2017
1,国兴观湖国际,https://beijing.anjuke.com/community/props/sale/797197/,［朝阳区-朝阳公园］东四环北路88号,94496,↑0.66%,竣工日期：2005
2,国锐金嵿,https://beijing.anjuke.com/map/sale/#l1=39.941533&l2=116.497492&l3=18&flag=1&commname=泛海世家&commid=797197,［大兴区-亦庄］荣华南路1号,58174,↓1.13%,竣工日期：2014
3,望京金茂府,https://beijing.anjuke.com/community/round/797197,［朝阳区-来广营］来广营西路4号,112422,↓1.05%,竣工日期：2014
4,恒大未来城,https://beijing.anjuke.com/community/trends/797197,［大兴区-大兴周边］新源大街,33638,↓7.59%,竣工日期：2016
5,珠江绿洲家园,https://beijing.anjuke.com/community/photos2/b/797197,［朝阳区-定福庄］建国路18号,48646,↑0.24%,竣工日期：2003
6,天时名苑,https://beijing.anjuke.com/community/view/797197/jiedu/,［通州区-通州北苑］杨庄路2号,49889,↓0.30%,竣工日期：2007
7,万科如园,https://beijing.anjuke.com/community/view/55897,［海淀区-西北旺］永丰路,90303,↓0.63%,竣工日期：2013
8,馨瑞嘉园,https://beijing.anjuke.com/community/props/sale/55897/,［海淀区-上庄］沙阳路,40504,↓2.39%,竣工日期：2010
9,温泉凯盛家园,https://beijing.anjuke.com/map/sale/#l1=39.9386336444&l2=116.4927122428&l3=18&flag=1&commname=国兴观湖国际&commid=55897,［海淀区-温泉］温泉路,49585,↓0.59%,竣工日期：2014
10,远洋LAVIE,https://beijing.anjuke.com/community/round/55897,"［朝阳区-大山子］康营东路,近机场高速",91457,↑14.61%,竣工日期：2008
11,琨御府,https://beijing.anjuke.com/community/trends/55897,［海淀区-四季青］蓝靛厂南路,139697,↓0.02%,竣工日期：2016
12,金色漫香苑,https://beijing.anjuke.com/community/photos2/b/55897,［昌平区-北七家］天权路2号,42928,↑0.42%,竣工日期：2013
13,首城国际,https://beijing.anjuke.com/community/view/55897/jiedu/,［朝阳区-双井］广渠路36号,91937,↑0.74%,竣工日期：2010
14,威尼斯花园,https://beijing.anjuke.com/community/view/580289,［昌平区-北七家］立汤路,31994,↑0.55%,竣工日期：1996
15,力宝诗礼庭,https://beijing.anjuke.com/community/props/sale/580289/,［大兴区-亦庄］荣华中路8号,29235,↓2.16%,竣工日期：2013
16,紫金长安,https://beijing.anjuke.com/map/sale/#l1=39.7903608688&l2=116.5084156623&l3=18&flag=1&commname=国锐金嵿&commid=580289,［海淀区-五棵松］西翠路17号,120648,↑0.46%,竣工日期：2004
17,一瓶,https://beijing.anjuke.com/community/round/580289,［西城区-陶然亭］陶然亭2号,140205,↑0.63%,竣工日期：2003
18,北辰红橡墅,https://beijing.anjuke.com/community/trends/580289,［昌平区-北七家］立汤路,36388,↑0.86%,竣工日期：暂无数据
19,天通苑西三区,https://beijing.anjuke.com/community/photos2/b/580289,［昌平区-天通苑］立汤路,36343,↑1.81%,竣工日期：2015
20,山水文园东园,https://beijing.anjuke.com/community/view/580289/jiedu/,［朝阳区-华威桥］弘燕路,91656,↑0.62%,竣工日期：2018
21,亿城西山华府禧园,https://beijing.anjuke.com/community/view/511075,［海淀区-马连洼］马连洼南路,93131,↓0.63%,竣工日期：2008
22,西城晶华,https://beijing.anjuke.com/community/props/sale/511075/,［西城区-金融街］太平桥大街8号,183035,↑0.12%,竣工日期：2008
23,褐石园,https://beijing.anjuke.com/map/sale/#l1=40.0193652602&l2=116.4606050648&l3=18&flag=1&commname=望京金茂府&commid=511075,［海淀区-清华大学］中关村北大街,120582,↑1.03%,竣工日期：2015
24,华城滨河世家,https://beijing.anjuke.com/community/round/511075,［东城区-广渠门］夕照寺大街16号,100246,↓0.30%,竣工日期：2008
25,香江别墅,https://beijing.anjuke.com/community/trends/511075,［昌平区-小汤山北］镇百葛路366号,31959,↓0.61%,竣工日期：2005
26,丽泽景园,https://beijing.anjuke.com/community/photos2/b/511075,［丰台区-丰益桥］益泽路,69434,↓1.94%,竣工日期：2012
27,上林溪,https://beijing.anjuke.com/community/view/511075/jiedu/,［海淀区-上地］安宁庄东路,80553,↑1.84%,竣工日期：2010
28,世茂奥临花园,https://beijing.anjuke.com/community/view/730699,［朝阳区-北苑］清林路一号,79300,↓0.23%,竣工日期：2000
29,远洋万和公馆,https://beijing.anjuke.com/community/props/sale/730699/,［朝阳区-望京］阜通东大街,116877,↑0.76%,竣工日期：2012
0,御园,https://beijing.anjuke.com/community/view/598565,"［海淀区-西苑］玉泉山路,近厢红旗路",99949,↑0.52%,竣工日期：2012
1,远洋天著(别墅),https://beijing.anjuke.com/community/props/sale/598565/,［大兴区-亦庄］小羊坊南街,55913,↑3.10%,竣工日期：2013
2,公园悦府,https://beijing.anjuke.com/map/sale/#l1=39.999089&l2=116.255104&l3=18&flag=1&commname=御园&commid=598565,"［昌平区-回龙观］文化东路,近回南北路",57081,↓0.23%,竣工日期：2015
3,华腾园,https://beijing.anjuke.com/community/round/598565,［朝阳区-劲松］东三环南路54号,72054,↑1.85%,竣工日期：1999
4,利泽西园,https://beijing.anjuke.com/community/trends/598565,［朝阳区-望京］广顺北大街,72112,↑7.75%,竣工日期：2015
5,新地国际家园,https://beijing.anjuke.com/community/photos2/b/598565,［通州区-北关］商通大道,42276,↓1.11%,竣工日期：2016
6,凯德麓语,https://beijing.anjuke.com/community/view/598565/jiedu/,［昌平区-昌平周边］怀昌路,29630,↑4.42%,竣工日期：2016
7,富力尚悦居,https://beijing.anjuke.com/community/view/875717,［通州区-马驹桥］兴贸二街,35882,↓0.69%,竣工日期：2015
8,首邑溪谷,https://beijing.anjuke.com/community/props/sale/875717/,［大兴区-高米店］兴泰街5号,68535,↓0.24%,竣工日期：2012
9,澳洲康都,https://beijing.anjuke.com/map/sale/#l1=39.821717&l2=116.529897&l3=18&flag=1&commname=远洋天著(别墅)&commid=875717,［朝阳区-望京］望京北路39号,84214,↑0.63%,竣工日期：2004
10,中海紫御公馆,https://beijing.anjuke.com/community/round/875717,［东城区-永定门］永定门西滨河路,110217,↓0.84%,竣工日期：2010
11,北京风景,https://beijing.anjuke.com/community/trends/875717,［昌平区-南邵镇］双营西路65号,43610,↑3.11%,竣工日期：2008
12,紫御华府,https://beijing.anjuke.com/community/photos2/b/875717,［朝阳区-奥林匹克公园］安立路7号,95274,↑0.07%,竣工日期：2012
13,丽都壹号,https://beijing.anjuke.com/community/view/875717/jiedu/,［朝阳区-酒仙桥］驼房营路,83749,↓0.21%,竣工日期：2011
14,山水汇豪苑(北区),https://beijing.anjuke.com/community/view/851661,［房山区-窦店］窦店北路,22654,↓0.75%,竣工日期：2002
15,金科帕提欧,https://beijing.anjuke.com/community/props/sale/851661/,［昌平区-小汤山北］沙顺路91号,33010,↑4.27%,竣工日期：2008
16,山语城,https://beijing.anjuke.com/map/sale/#l1=40.091217&l2=116.351553&l3=18&flag=1&commname=公园悦府&commid=851661,［丰台区-云岗］云岗西路28号,38713,↑2.45%,竣工日期：2012
17,新怡家园,https://beijing.anjuke.com/community/round/851661,［东城区-崇文门］东兴隆街,135278,↑0.22%,竣工日期：2004
18,臻园,https://beijing.anjuke.com/community/trends/851661,［朝阳区-望京］来广营西路,95229,↑0.59%,竣工日期：2014
19,朗园(星河湾),https://beijing.anjuke.com/community/photos2/b/851661,［朝阳区-朝青板块］四季星河中街1号,92025,↑0.93%,竣工日期：2008
20,京贸国际城,https://beijing.anjuke.com/community/view/851661/jiedu/,［通州区-武夷花园］芙蓉东路1号,59068,↓0.45%,竣工日期：2011
21,万象新天家园,https://beijing.anjuke.com/community/view/55410,［朝阳区-常营］常营北路10号,58097,↓1.51%,竣工日期：2003
22,天通苑东二区,https://beijing.anjuke.com/community/props/sale/55410/,［昌平区-天通苑］太平庄东一路,38858,↓0.43%,竣工日期：2015
23,天通苑东一区,https://beijing.anjuke.com/map/sale/#l1=39.8873728127&l2=116.4652041966&l3=18&flag=1&commname=华腾园&commid=55410,［昌平区-天通苑］太平庄东路,39454,↓0.58%,竣工日期：2015
24,当代城市家园,https://beijing.anjuke.com/community/round/55410,［海淀区-上地］安宁庄西路9号,77964,↑1.18%,竣工日期：2004
25,天通苑北二区,https://beijing.anjuke.com/community/trends/55410,［昌平区-天通苑］太平庄中二街,40122,↑1.36%,竣工日期：1993
26,瑞雪春堂,https://beijing.anjuke.com/community/photos2/b/55410,［房山区-良乡］良官公路,34404,↑1.47%,竣工日期：2005
27,绿地国际花都,https://beijing.anjuke.com/community/view/55410/jiedu/,［密云区(密云县)-密云城区］城后街32号,26279,↓0.13%,竣工日期：2013
28,圣世一品,https://beijing.anjuke.com/community/view/55284,［朝阳区-东大桥］向军北里28号,86241,↑3.17%,竣工日期：2010
29,密云华润橡树湾,https://beijing.anjuke.com/community/props/sale/55284/,［密云区(密云县)-密云城区］滨河路,28596,↓0.43%,竣工日期：2016
0,九龙花园,https://beijing.anjuke.com/community/view/83405,［朝阳区-双井］广渠路31号,60651,↓0.42%,竣工日期：1998
1,富力山,https://beijing.anjuke.com/community/props/sale/83405/,［朝阳区-双井］广渠门外大街7号,155421,↓1.04%,竣工日期：2005
2,润泽庄园,https://beijing.anjuke.com/map/sale/#l1=39.894255293&l2=116.4701491383&l3=18&flag=1&commname=九龙花园&commid=83405,［朝阳区-来广营］水岸南街,87415,↑3.00%,竣工日期：2008
3,蓝河湾,https://beijing.anjuke.com/community/round/83405,［密云区(密云县)-密云周边］水源路,28013,↑2.88%,竣工日期：2012
4,三嘉信苑,https://beijing.anjuke.com/community/trends/83405,［海淀区-上庄］沙阳路,42791,↓0.07%,竣工日期：2015
5,天通苑西二区,https://beijing.anjuke.com/community/photos2/b/83405,［昌平区-天通苑］立汤路,40396,↓0.50%,竣工日期：2015
6,誉天下(别墅),https://beijing.anjuke.com/community/view/83405/jiedu/,［顺义区-天竺］榆阳路,43371,↑1.23%,竣工日期：2008
7,西湖新村,https://beijing.anjuke.com/community/view/851366,［昌平区-北七家］立汤路,35449,↑0.60%,竣工日期：1996
8,百旺家苑,https://beijing.anjuke.com/community/props/sale/851366/,［海淀区-马连洼］马连洼北路,80252,↑0.03%,竣工日期：2003
9,浅山香邑,https://beijing.anjuke.com/map/sale/#l1=39.8947656779&l2=116.4486383542&l3=18&flag=1&commname=富力山&commid=851366,［顺义区-杨镇］浅香北街16号,22044,↓1.84%,竣工日期：2012
10,国融国际,https://beijing.anjuke.com/community/round/851366,［大兴区-亦庄］荣华中路7号,31215,↓9.44%,竣工日期：2008
11,东方瑞景,https://beijing.anjuke.com/community/trends/851366,［朝阳区-建外大街］建国门外大街16号,71701,↑0.65%,竣工日期：2004
12,西钓鱼台嘉园,https://beijing.anjuke.com/community/photos2/b/851366,［海淀区-航天桥］西八里庄路,104432,↓1.55%,竣工日期：2006
13,丽景长安,https://beijing.anjuke.com/community/view/851366/jiedu/,［门头沟区-永定］石龙南路3号,44705,↓0.49%,竣工日期：2013
14,大成郡,https://beijing.anjuke.com/community/view/206622,［丰台区-岳各庄］大成路,78922,↑0.62%,竣工日期：2009
15,泛海国际碧海园,https://beijing.anjuke.com/community/props/sale/206622/,［朝阳区-朝阳公园］姚家园路97号,102084,↑0.45%,竣工日期：2015
16,大宁山庄,https://beijing.anjuke.com/map/sale/#l1=40.0559262753&l2=116.4376110128&l3=18&flag=1&commname=润泽庄园&commid=206622,［房山区-长阳］京深路,40686,↓1.35%,竣工日期：2018
17,中海凯旋,https://beijing.anjuke.com/community/round/206622,［西城区-金融街］太平桥98号,199482,↓2.78%,竣工日期：2004
18,北京洋房,https://beijing.anjuke.com/community/trends/206622,［昌平区-北七家］七星路216号,46326,↑6.29%,竣工日期：2007
19,方舟苑,https://beijing.anjuke.com/community/photos2/b/206622,［朝阳区-花家地］北四环东路甲9号,66684,↓0.36%,竣工日期：1998
20,天鹅堡,https://beijing.anjuke.com/community/view/206622/jiedu/,［通州区-马驹桥］中心二路,36413,↑6.78%,竣工日期：2006
21,丰台金茂府,https://beijing.anjuke.com/community/view/205225,［丰台区-宋家庄］宋庄路,100266,↑7.66%,竣工日期：2013
22,北京华侨城2号院,https://beijing.anjuke.com/community/props/sale/205225/,［朝阳区-垡头］金蝉欢乐园2号,70538,↑0.60%,竣工日期：2006
23,中粮瑞府,https://beijing.anjuke.com/map/sale/#l1=40.35876&l2=116.840003&l3=18&flag=1&commname=蓝河湾&commid=205225,［朝阳区-孙河］香江北路,113122,——,竣工日期：2016
24,北京城建海梓府,https://beijing.anjuke.com/community/round/205225,［大兴区-亦庄］泰河二街,56457,↓0.87%,竣工日期：2015
25,宣颐家园,https://beijing.anjuke.com/community/trends/205225,［大兴区-旧宫］宝颐路,51256,↓0.30%,竣工日期：2001
26,香山清琴,https://beijing.anjuke.com/community/photos2/b/205225,"［海淀区-西山］团城路,近清琴路",143317,↑0.31%,竣工日期：2008
27,华清嘉园,https://beijing.anjuke.com/community/view/205225/jiedu/,"［海淀区-五道口］成府路,近中关村东路",119142,↑2.43%,竣工日期：2001
28,涧桥山,https://beijing.anjuke.com/community/view/852162,［密云区(密云县)-密云城区］园林东路1号,25958,↑2.44%,竣工日期：2012
29,育新花园北里,https://beijing.anjuke.com/community/props/sale/852162/,［大兴区-大兴周边］育林街,22297,↑0.58%,竣工日期：2010
0,芍药居北里小区,https://beijing.anjuke.com/community/view/55806,［朝阳区-芍药居］北四环东路,84934,↓0.03%,竣工日期：1999
1,山语间(保利西山林语),https://beijing.anjuke.com/community/props/sale/55806/,［海淀区-西北旺］黑龙潭路,62912,↑2.50%,竣工日期：2010
2,天通苑北三区,https://beijing.anjuke.com/map/sale/#l1=39.9866747502&l2=116.4360607848&l3=18&flag=1&commname=芍药居北里小区&commid=55806,［昌平区-天通苑］太平庄中二街,42858,↑1.38%,竣工日期：1993
3,望京西园一区,https://beijing.anjuke.com/community/round/55806,［朝阳区-望京］阜安西路,68181,↑0.47%,竣工日期：1993
4,润泽悦溪,https://beijing.anjuke.com/community/trends/55806,［朝阳区-北苑］水岸南街,96577,↓1.15%,竣工日期：2010
5,万城华府玺园,https://beijing.anjuke.com/community/photos2/b/55806,［海淀区-万柳］万柳西路,164005,——,竣工日期：2009
6,大方居,https://beijing.anjuke.com/community/view/55806/jiedu/,［通州区-九棵树］半壁店大街25号,37367,↓1.74%,竣工日期：2007
7,泛海国际兰海园,https://beijing.anjuke.com/community/view/849808,［朝阳区-朝阳公园］辛庄一街28号,112707,↑1.46%,竣工日期：2009
8,西山庭院,https://beijing.anjuke.com/community/props/sale/849808/,［海淀区-马连洼］天秀南一路,101908,↑8.76%,竣工日期：2015
9,天伦锦城,https://beijing.anjuke.com/map/sale/#l1=40.035623&l2=116.214203&l3=18&flag=1&commname=山语间(保利西山林语)&commid=849808,［丰台区-新发地］六圈路,47264,↑3.26%,竣工日期：2010
10,龙湖双珑原著,https://beijing.anjuke.com/community/round/849808,［朝阳区-孙河］景达路1号,75734,↑0.41%,竣工日期：2015
11,中信国安府,https://beijing.anjuke.com/community/trends/849808,［西城区-宣武门］前青厂胡同66号,175995,↓2.88%,竣工日期：2017
12,广渠金茂府(北区),https://beijing.anjuke.com/community/photos2/b/849808,［朝阳区-大望路］百子湾南二路66号,143562,↑0.92%,竣工日期：2011
13,温泉花园(B区),https://beijing.anjuke.com/community/view/849808/jiedu/,［昌平区-北七家］立汤路,32173,↑0.11%,竣工日期：1995
14,橡树湾(四期),https://beijing.anjuke.com/community/view/848268,"［海淀区-清河］毛纺路,近朱房路",93690,↓0.09%,竣工日期：2000
15,红玺台,https://beijing.anjuke.com/community/props/sale/848268/,［朝阳区-太阳宫］太阳宫二街3号,142372,↓2.75%,竣工日期：2012
16,山水文园中园,https://beijing.anjuke.com/map/sale/#l1=40.076738&l2=116.432815&l3=18&flag=1&commname=天通苑北三区&commid=848268,［朝阳区-华威桥］弘燕路,87230,↑4.21%,竣工日期：2005
17,钓鱼台7号院,https://beijing.anjuke.com/community/round/848268,［海淀区-公主坟］阜成路南二街,177811,——,竣工日期：2011
18,天鹅湾(北区),https://beijing.anjuke.com/community/trends/848268,［朝阳区-朝青板块］甘露园中街,119671,↑3.15%,竣工日期：2008
19,金隅万科城,https://beijing.anjuke.com/community/photos2/b/848268,［昌平区-昌平县城］南环路10号,44189,↑0.45%,竣工日期：2010
20,远洋山水(北区),https://beijing.anjuke.com/community/view/848268/jiedu/,［石景山区-鲁谷］鲁谷路,71273,↑0.01%,竣工日期：2005
21,领秀翡翠山,https://beijing.anjuke.com/community/view/50380,［丰台区-云岗］长青路88号,40292,↑1.05%,竣工日期：2015
22,长安驿,https://beijing.anjuke.com/community/props/sale/50380/,［朝阳区-建外大街］建华南路6号,75621,↑3.21%,竣工日期：2005
23,山水文园西园,https://beijing.anjuke.com/map/sale/#l1=40.0041607918&l2=116.4755101912&l3=18&flag=1&commname=望京西园一区&commid=50380,"［朝阳区-华威桥］弘燕路,近西燕街",94243,↑0.20%,竣工日期：2002
24,同泽园西里,https://beijing.anjuke.com/community/round/50380,［海淀区-温泉］后沙涧路,38187,↓0.30%,竣工日期：2010
25,林肯公园C区,https://beijing.anjuke.com/community/trends/50380,［大兴区-亦庄］西环北路,62620,↓0.74%,竣工日期：2008
26,中海枫丹公馆,https://beijing.anjuke.com/community/photos2/b/50380,［朝阳区-建外大街］砖厂胡同54号,114643,↑3.65%,竣工日期：2015
27,蓝堡国际公寓,https://beijing.anjuke.com/community/view/50380/jiedu/,［朝阳区-CBD］西大望路3号,91621,↓3.95%,竣工日期：2003
28,泛海国际香海园,https://beijing.anjuke.com/community/view/171962,［朝阳区-朝阳公园］姚家园北路,104173,↑0.16%,竣工日期：2007
29,香海园,https://beijing.anjuke.com/community/props/sale/171962/,［大兴区-黄村］兴业大街,50379,↑0.85%,竣工日期：2004
0,万科星园,https://beijing.anjuke.com/community/view/50472,［朝阳区-媒体村］安立路,78835,↑1.69%,竣工日期：2001
1,长岛澜桥,https://beijing.anjuke.com/community/props/sale/50472/,［朝阳区-来广营］来广营东路9号,73617,↓0.74%,竣工日期：2005
2,西潞园,https://beijing.anjuke.com/map/sale/#l1=40.0285612552&l2=116.4125459161&l3=18&flag=1&commname=万科星园&commid=50472,［房山区-良乡］良乡西潞北大街,34761,↑0.47%,竣工日期：1993
3,荣丰2008,https://beijing.anjuke.com/community/round/50472,［西城区-广安门外］广安门外大街305号,144440,↓0.68%,竣工日期：2003
4,华贸公寓,https://beijing.anjuke.com/community/trends/50472,［朝阳区-大望路］建国路89号,91935,↑1.40%,竣工日期：2005
5,强佑清河新城,https://beijing.anjuke.com/community/photos2/b/50472,"［海淀区-清河］京藏高速辅路,近清河中街",69798,↑0.21%,竣工日期：2008
6,人济山庄,https://beijing.anjuke.com/community/view/50472/jiedu/,［海淀区-紫竹桥］紫竹院路1号,111629,↑0.30%,竣工日期：2003
7,金星园,https://beijing.anjuke.com/community/view/55952,［朝阳区-太阳宫］太阳宫南街,96744,↑0.39%,竣工日期：1995
